R0+AVGDUR_PDF+betaprime,1.4580123712391742,21.6636620075122,1.356882662242369,88.03015508197399
R0+MAXINT_PDF+norminvgauss,9.674679275396233,9.376755348396198,1.7333246456778792,3.2079865023548138
R0+BETPAR_PDF+powerlognorm,79.17050041287624,1.1699996091563047,0.007684014165512737,0.36352205502797647
R0+RADIUS_PDF+norminvgauss,6.742465229406275,6.439070483145276,27.851774229513957,18.15436268270873
R0+VELMOV_PDF+hypsecant,4.451257301971156,3.288447738342352
R0+DIRMOV_VMF+m1,0.05498259893285373,1.5103631137939857,180.90865807220987
R0+DIRMOV_VMF+m2,0.4235692203452166,1.4912052560567277,17.063813104674985
R0+DIRMOV_VMF+m3,0.5214481817219296,1.193511538805133,1.2665053652253402
R0+DATIME_VMF+m1,0.12148290736991091,-3.1415926470582636,2.192490342562561
R0+DATIME_VMF+m2,0.280615571980168,-0.3530648468104203,10.887767206841591
R0+DATIME_VMF+m3,0.5979015216499212,0.563261611222269,1.5157679249898983
R0+DOYEAR_VMF+m1,0.05457544830290023,2.205657791578716,317.7435955694944
R0+DOYEAR_VMF+m2,0.19521472358767678,1.6519908052700458,96.45947618273343
R0+DOYEAR_VMF+m3,0.49962739995464,2.474750354951029,8.539469952408153
R0+DOYEAR_VMF+m4,0.25058242915478307,1.9350648060045756,60.47941685967431
